Stufe;Place1;Place2;Place3;Place4;Place5;Longitude;Latitude;Zoom;Icon
4;DE;Brandenburg;Kreisfreie Stadt Potsdam;Potsdam;;E13.0102;N52.3744;12;
4;DE;Brandenburg;Kreisfreie Stadt Potsdam;Potsdam;;E13.0645;N52.3908;12;
4;DE;Brandenburg;Kreisfreie Stadt Potsdam;Golm;;E12.9670;N52.4062;12;
4;DE;Brandenburg;Kreisfreie Stadt Potsdam;Groß Glienicke;;E13.1079;N52.4675;12;
4;DE;Brandenburg;Kreisfreie Stadt Potsdam;Neu Fahrland;;E13.0492;N52.4489;12;
4;DE;Brandenburg;Kreisfreie Stadt Potsdam;Satzkorn;;E12.9899;N52.4744;12;
4;DE;Brandenburg;Kreisfreie Stadt Potsdam;Uetz-Paaren;;E12.9376;N52.4726;12;
4;DE;Brandenburg;Landkreis Havelland;Seeburg;;E13.1198;N52.5097;12;
4;DE;Brandenburg;Kreisfreie Stadt Potsdam;Fahrland;;E13.0117;N52.4689;12;
4;DE;Brandenburg;Kreisfreie Stadt Potsdam;Marquardt;;E12.9663;N52.4590;12;
4;DE;Brandenburg;Landkreis Potsdam-Mittelmark;Töplitz;;E12.7944;N52.4167;12;
4;DE;Brandenburg;Kreisfreie Stadt Potsdam;Potsdam;;E13.0914;N52.3725;12;
4;DE;Brandenburg;Kreisfreie Stadt Potsdam;Potsdam;;E13.1273;N52.3689;12;
4;DE;Brandenburg;Kreisfreie Stadt Potsdam;Potsdam;;E13.0993;N52.3871;12;
4;DE;Brandenburg;Landkreis Potsdam-Mittelmark;Teltow;;E13.2601;N52.4031;12;
4;DE;Brandenburg;Landkreis Potsdam-Mittelmark;Philippsthal;;E13.1413;N52.3336;12;
4;DE;Brandenburg;Landkreis Potsdam-Mittelmark;Stahnsdorf;;E13.2167;N52.3833;12;
4;DE;Brandenburg;Landkreis Potsdam-Mittelmark;Fahlhorst;;E13.1626;N52.3061;12;
4;DE;Brandenburg;Landkreis Potsdam-Mittelmark;Nudow;;E13.1647;N52.3283;12;
4;DE;Brandenburg;Landkreis Potsdam-Mittelmark;Kleinmachnow;;E13.2251;N52.4079;12;
4;DE;Brandenburg;Landkreis Potsdam-Mittelmark;Schwielowsee;;E12.9722;N52.3389;12;
4;DE;Brandenburg;Landkreis Potsdam-Mittelmark;Werder (Havel);;E12.9188;N52.3687;12;
4;DE;Brandenburg;Landkreis Potsdam-Mittelmark;Kloster Lehnin;;E12.6625;N52.3271;12;
4;DE;Brandenburg;Landkreis Potsdam-Mittelmark;Stücken;;E13.0792;N52.2450;12;
4;DE;Brandenburg;Landkreis Potsdam-Mittelmark;Beelitz;;E12.9714;N52.2381;12;
4;DE;Brandenburg;Landkreis Potsdam-Mittelmark;Schwielowsee;;E12.9722;N52.3389;12;
4;DE;Brandenburg;Landkreis Potsdam-Mittelmark;Schmergow;;E12.8116;N52.4540;12;
4;DE;Brandenburg;Landkreis Potsdam-Mittelmark;Bochow;;E12.7934;N52.3810;12;
4;DE;Brandenburg;Landkreis Potsdam-Mittelmark;Groß Kreutz;;E12.7794;N52.4028;12;
4;DE;Brandenburg;Landkreis Potsdam-Mittelmark;Deetz;;E12.7718;N52.4466;12;
4;DE;Brandenburg;Landkreis Potsdam-Mittelmark;Derwitz;;E12.8245;N52.4029;12;
4;DE;Brandenburg;Landkreis Potsdam-Mittelmark;Krielow;;E12.8034;N52.4166;12;
